source,target
သူအိမ်ကို ထွက်သွားသည်။,သူအိမ်သို့ ထွက်သွားသည်။
သူစာသင်ကျောင်းကို သွားသည်။,သူစာသင်ကျောင်းသို့ သွားသည်။
ကျောင်းမှ စာမေးပွဲဖြေသည်။,ကျောင်း၌ စာမေးပွဲဖြေသည်။
ဆေးရုံကို စောင့်ဆိုင်းသည်။,ဆေးရုံ၌ စောင့်ဆိုင်းသည်။
စခန်းမှ ထွက်လာသည်။,စခန်းကို ထွက်လာသည်။
သူအလုပ်သွားကို ပြင်ဆင်သည်။,သူအလုပ်သွားဖို့ ပြင်ဆင်သည်။
သူအိမ်ကို ပြန်လာသည်။,သူအိမ်သို့ ပြန်လာသည်။
သူအတန်းမှ ထွက်သွားသည်။,သူအတန်းကို ထွက်သွားသည်။
သူဈေးကို သွားသည်။,သူဈေးသို့ သွားသည်။
မိဘအိမ်မှ ပြန်လာသည်။,မိဘအိမ်သို့ ပြန်လာသည်။
ကျောင်းသွား ပြင်ဆင်သည်။,ကျောင်းသွားဖို့ ပြင်ဆင်သည်။
စာဖတ် စီစဉ်သည်။,စာဖတ်ဖို့ စီစဉ်သည်။
အလုပ်သွား ကြံဆသည်။,အလုပ်သွားဖို့ ကြံဆသည်။
တက္ကသိုလ်တက် ပြင်ဆင်သည်။,တက္ကသိုလ်တက်ဖို့ ပြင်ဆင်သည်။
အလုပ်လုပ် ကြံစည်သည်။,အလုပ်လုပ်ဖို့ ကြံစည်သည်။
တရုတ်သွား စီစဉ်သည်။,တရုတ်သွားဖို့ စီစဉ်သည်။
ဖတ် စီစဉ်သည်။,ဖတ်ဖို့ စီစဉ်သည်။
ဝယ် စဉ်းစားသည်။,ဝယ်ဖို့ စဉ်းစားသည်။
စား စီစဉ်သည်။,စားဖို့ စီစဉ်သည်။
သွား စဉ်းစားသည်။,သွားဖို့ စဉ်းစားသည်။
စာဖတ်မည် ပြီးကျောင်းသွားမည်။,စာဖတ်ပြီး ကျောင်းသွားမည်။
ရေသောက်မည် ပြီးအိမ်ပြန်မည်။,ရေသောက်ပြီး အိမ်ပြန်မည်။
အိမ်သန့်မည် ပြီးစာဖတ်မည်။,အိမ်သန့်ပြီး စာဖတ်မည်။
မနက်စားမည် ပြီးအလုပ်သွားမည်။,မနက်စားပြီး အလုပ်သွားမည်။
နားထောင်မည် ပြီးဖြေမည်။,နားထောင်ပြီး ဖြေမည်။
အိပ်မည် ပြီးရုပ်ရှင်ကြည့်မည်။,အိပ်ပြီး ရုပ်ရှင်ကြည့်မည်။
သွားမည် ပြီးဝယ်မည်။,သွားပြီး ဝယ်မည်။
အစားစားမည် ပြီးအလုပ်သွားမည်။,အစားစားပြီး အလုပ်သွားမည်။
အလုပ်လုပ်မည် ပြီးအိမ်ပြန်မည်။,အလုပ်လုပ်ပြီး အိမ်ပြန်မည်။
စာဖတ်မည် ပြီးအိပ်မည်။,စာဖတ်ပြီး အိပ်မည်။
ငါ မသွားမည်။,ငါ မသွားဘူး။
သူ မစားမည်။,သူ မစားဘူး။
ကျွန်တော် မပြောမည်။,ကျွန်တော် မပြောဘူး။
သူ မလာမည်။,သူ မလာဘူး။
သူ မဖတ်မည်။,သူ မဖတ်ဘူး။
ငါ မအိပ်မည်။,ငါ မအိပ်ဘူး။
သူ မလည်မည်။,သူ မလည်ဘူး။
သူ မကြည့်မည်။,သူ မကြည့်ဘူး။
သူ မဖြေမည်။,သူ မဖြေဘူး။
သူ မသိမည်။,သူ မသိဘူး။
ငါ နံနက်ကို လာမည်။,ငါ နံနက်မှာ လာမည်။
သူ ညနေပိုင်းကို သွားသည်။,သူ ညနေပိုင်းမှာ သွားသည်။
ငါ ညကို အိပ်သည်။,ငါ ညမှာ အိပ်သည်။
သူ ညနေပိုင်းကို ရောက်သည်။,သူ ညနေပိုင်းမှာ ရောက်သည်။
ကျောင်းကို မနက်ကို သွားသည်။,ကျောင်းကို မနက်မှာ သွားသည်။
ကျွန်တော် ညကို ပြန်မည်။,ကျွန်တော် ညမှာ ပြန်မည်။
အတားအဆီးဖြင့် မရောက်နိုင်ဘူး။,အတားအဆီးကြောင့် မရောက်နိုင်ဘူး။
အကြောင်းအရာဖြင့် မဖြေရှင်းနိုင်ဘူး။,အကြောင်းအရာကြောင့် မဖြေရှင်းနိုင်ဘူး။
သူ အားနည်းခြင်းဖြင့် လဲကျသည်။,သူ အားနည်းခြင်းကြောင့် လဲကျသည်။
ပင်ပန်းခြင်းဖြင့် မလာဘူး။,ပင်ပန်းခြင်းကြောင့် မလာဘူး။
မလုံခြုံခြင်းဖြင့် မသွားဘူး။,မလုံခြုံခြင်းကြောင့် မသွားဘူး။
ရုပ်ပိုင်းခက်ခဲမှုဖြင့် မလာနိုင်ဘူး။,ရုပ်ပိုင်းခက်ခဲမှုကြောင့် မလာနိုင်ဘူး။
သူလည်း မနက်စာလည်း မစားဘူး။,သူ မနက်စာလည်း မစားဘူး။
ကျွန်တော်လည်း နားလည်း မထောင်ဘူး။,ကျွန်တော် နားလည်း မထောင်ဘူး။
သူလည်း စာလည်း မဖတ်ဘူး။,သူ စာလည်း မဖတ်ဘူး။
သူမလည်း စာလည်း မလုပ်ဘူး။,သူမ စာလည်း မလုပ်ဘူး။
ကျောင်းသားလည်း စာလည်း မဖတ်ဘူး။,ကျောင်းသား စာလည်း မဖတ်ဘူး။
သူလည်း စာသင်လည်း မလာဘူး။,သူ စာသင်လည်း မလာဘူး။
သူလည်း ရုပ်ရှင်လည်း မကြည့်ဘူး။,သူ ရုပ်ရှင်လည်း မကြည့်ဘူး။
သူလည်း အိပ်လည်း မသွားဘူး။,သူ အိပ်လည်း မသွားဘူး။
သူမလည်း သတင်းလည်း မသိဘူး။,သူမ သတင်းလည်း မသိဘူး။
သူလည်း အလုပ်လည်း မလုပ်ဘူး။,သူ အလုပ်လည်း မလုပ်ဘူး။
မနေ့က သူ လာသည်။,မနေ့က သူ လာခဲ့သည်။
မနေ့က ငါ တွေ့သည်။,မနေ့က ငါ တွေ့ခဲ့သည်။
မနေ့က သူ ရှင်းပြသည်။,မနေ့က သူ ရှင်းပြခဲ့သည်။
မနေ့က ငါ လုပ်သည်။,မနေ့က ငါ လုပ်ခဲ့သည်။
မနေ့က သူ ဆွေးနွေးသည်။,မနေ့က သူ ဆွေးနွေးခဲ့သည်။
မနေ့က သူ စမ်းသပ်သည်။,မနေ့က သူ စမ်းသပ်ခဲ့သည်။
မနေ့က သူ ပြင်ဆင်သည်။,မနေ့က သူ ပြင်ဆင်ခဲ့သည်။
မနေ့က သူ စတင်သည်။,မနေ့က သူ စတင်ခဲ့သည်။
ညနေပိုင်း မိုး သတိမထားဘဲ သူ အပြင်ထွက်သည်။,ညနေပိုင်းမိုးကို သတိမထားမိဘဲ သူ အပြင်ထွက်ခဲ့သည်။
မနေ့က မိုး သတိမထားဘဲ ကျွန်မ အပြင်ထွက်သည်။,မနေ့က မိုးကို သတိမထားမိဘဲ ကျွန်မ အပြင်ထွက်ခဲ့သည်။
မနေ့က မိုးရွာသည်။,မနေ့က မိုးရွာခဲ့သည်။
မနေ့က မိုးအရမ်းရွာသည်။,မနေ့က မိုးအရမ်းရွာခဲ့သည်။
မိုးသည်းသည်းကို ကျောင်းသွားသည်။,မိုးသည်းသည်းမှာ ကျောင်းသွားသည်။
မိုး မရွာမည်။,မိုး မရွာဘူး။
မိုး မကျမည်။,မိုး မကျဘူး။
မိုးအေးကို မနေရဘူး။,မိုးအေးမှာ မနေရဘူး။
မိုးသည်းသည်းကို သတိပြုပါ။,မိုးသည်းသည်းမှာ သတိပြုပါ။
မိုးအရမ်းရွာခြင်းဖြင့် အိမ်မထွက်နိုင်ဘူး။,မိုးအရမ်းရွာခြင်းကြောင့် အိမ်မထွက်နိုင်ဘူး။
မိုးတိမ်ထူခြင်းဖြင့် မမြင်နိုင်ဘူး။,မိုးတိမ်ထူခြင်းကြောင့် မမြင်နိုင်ဘူး။
မနေ့က မိုးအရမ်းကျသည်။,မနေ့က မိုးအရမ်းကျခဲ့သည်။
မနေ့က မိုးသည်းသည်းရွာသည်။,မနေ့က မိုးသည်းသည်းရွာခဲ့သည်။
သူမ ငွေမရှိခြင်းဖြင့် မိတ်ကပ် မဝယ်ဘူး။,သူမ ငွေမရှိခြင်းကြောင့် မိတ်ကပ် မဝယ်ဘူး။
ဖိနပ်ဝယ်မည် ပြီးဈေးသွားမည်။,ဖိနပ်ဝယ်ပြီး ဈေးသွားမည်။
သူ ငွေမရှိခြင်းဖြင့် မိတ်ကပ် မဝယ်ဘူး။,သူ ငွေမရှိခြင်းကြောင့် မိတ်ကပ် မဝယ်ဘူး။
လက်ကိုင်အိတ်ဝယ်မည် ပြီးစျေးသွားမည်။,လက်ကိုင်အိတ်ဝယ်ပြီး စျေးသွားမည်။
ဆီဘူးဝယ်မည် ပြီးဆိုင်သွားမည်။,ဆီဘူးဝယ်ပြီး ဆိုင်သွားမည်။
ကျွန်မ ငွေမရှိခြင်းဖြင့် စာအုပ် မဝယ်ဘူး။,ကျွန်မ ငွေမရှိ၍ စာအုပ် မဝယ်ဘူး။
သူ ငွေမရှိခြင်းဖြင့် သွားတိုက်ဆေး မဝယ်ဘူး။,သူ ငွေမရှိ၍ သွားတိုက်ဆေး မဝယ်ဘူး။
မနေ့က ငါ မိတ်ကပ် ဝယ်သည်။,မနေ့က ငါ မိတ်ကပ် ဝယ်ခဲ့သည်။
မနေ့က ငါ လက်ကိုင်အိတ် ဝယ်သည်။,မနေ့က ငါ လက်ကိုင်အိတ် ဝယ်ခဲ့သည်။
ကျွန်တော် ထမင်းဘူးဝယ် စဉ်းစားသည်။,ကျွန်တော် ထမင်းဘူးဝယ်ဖို့ စဉ်းစားသည်။
မနေ့က ငါ စာအုပ် ဝယ်သည်။,မနေ့က ငါ စာအုပ် ဝယ်ခဲ့သည်။
ကျွန်တော် ဖုန်း မဝယ်မည်။,ကျွန်တော် ဖုန်း မဝယ်ဘူး။
မိတ်ကပ်ဝယ်မည် ပြီးဆိုင်သွားမည်။,မိတ်ကပ်ဝယ်ပြီး ဆိုင်သွားမည်။
ဖိနပ်ဝယ်မည် ပြီးစျေးထဲသွားမည်။,ဖိနပ်ဝယ်ပြီး စျေးထဲသွားမည်။
ကျွန်တော် လက်ကိုင်အိတ် မဝယ်မည်။,ကျွန်တော် လက်ကိုင်အိတ် မဝယ်ဘူး။
သူမ စာအုပ်ဝယ် စဉ်းစားသည်။,သူမ စာအုပ်ဝယ်ဖို့ စဉ်းစားသည်။
သူမ မိတ်ကပ်ဝယ် စဉ်းစားသည်။,သူမ မိတ်ကပ်ဝယ်ဖို့ စဉ်းစားသည်။
မနေ့က သူမ စာအုပ် ဝယ်သည်။,မနေ့က သူမ စာအုပ် ဝယ်ခဲ့သည်။
ကျွန်တော် ထမင်းဘူး မဝယ်မည်။,ကျွန်တော် ထမင်းဘူး မဝယ်ဘူး။
မနေ့က ငါ ဖုန်း ဝယ်သည်။,မနေ့က ငါ ဖုန်း ဝယ်ခဲ့သည်။
သူ လက်ကိုင်အိတ်ဝယ် စဉ်းစားသည်။,သူ လက်ကိုင်အိတ်ဝယ်ဖို့ စဉ်းစားသည်။
မနေ့က ငါ သွားတိုက်ဆေး ဝယ်သည်။,မနေ့က ငါ သွားတိုက်ဆေး ဝယ်ခဲ့သည်။
စာအုပ်ဝယ်မည် ပြီးဆိုင်သွားမည်။,စာအုပ်ဝယ်ပြီး ဆိုင်သွားမည်။
မနေ့က ကျွန်မ ထမင်းဘူး ဝယ်သည်။,မနေ့က ကျွန်မ ထမင်းဘူး ဝယ်ခဲ့သည်။
ဆီဘူးဝယ်မည် ပြီးစျေးကွက်သွားမည်။,ဆီဘူးဝယ်ပြီး စျေးကွက်သွားမည်။
ဖုန်းပြင်မည် ပြီးအလုပ်သွားမည်။,ဖုန်းပြင်ပြီး အလုပ်သွားမည်။
သူ ဖုန်း မခေါ်မည်။,သူ ဖုန်း မခေါ်ဘူး။
ဖုန်းဖြင့် မအိပ်နိုင်ဘူး။,ဖုန်းကြောင့် မအိပ်နိုင်ဘူး။
ဖုန်းအားသွင်းမည် ပြီးအိပ်မည်။,ဖုန်းအားသွင်းပြီး အိပ်မည်။
မနေ့က ဖုန်းကြည့်သည်။,မနေ့က ဖုန်းကြည့်ခဲ့သည်။
သူမ ဖုန်း မကြည့်မည်။,သူမ ဖုန်း မကြည့်ဘူး။
သူ ဖုန်း မဖွင့်မည်။,သူ ဖုန်း မဖွင့်ဘူး။
ဖုန်းဖြင့် အလုပ်ပျက်သည်။,ဖုန်းကြောင့် အလုပ်ပျက်သည်။
ဖုန်းပျက်ခြင်းဖြင့် စာမဖတ်နိုင်ဘူး။,ဖုန်းပျက်ခြင်းကြောင့် စာမဖတ်နိုင်ဘူး။
သူညဖုန်းအားသွင်းသည်။,သူ ညမှာ ဖုန်းအားသွင်းသည်။
သူလည်း ဖုန်းလည်း မပြင်ဘူး။,သူ ဖုန်းလည်း မပြင်ဘူး။
ဖုန်းဝယ် ပြင်ဆင်သည်။,ဖုန်းဝယ်ဖို့ ပြင်ဆင်သည်။
မနေ့က ဖုန်း ပြင်သည်။,မနေ့က ဖုန်း ပြင်ခဲ့သည်။
ဖုန်းမရှိခြင်းဖြင့် မဆက်နိုင်ဘူး။,ဖုန်းမရှိခြင်းကြောင့် မဆက်နိုင်ဘူး။
ကျွန်မ ဖုန်း မသုံးမည်။,ကျွန်မ ဖုန်း မသုံးဘူး။
ဖုန်းဝယ်မည် ပြီးအိမ်ပြန်မည်။,ဖုန်းဝယ်ပြီး အိမ်ပြန်မည်။
ငါ ဖုန်း မဝယ်မည်။,ငါ ဖုန်း မဝယ်ဘူး။
ဖုန်းသစ်ဝယ် ဆုံးဖြတ်သည်။,ဖုန်းသစ်ဝယ်ဖို့ ဆုံးဖြတ်သည်။
ဖုန်းအားကုန်ခြင်းဖြင့် မသုံးနိုင်ဘူး။,ဖုန်းအားကုန်ခြင်းကြောင့် မသုံးနိုင်ဘူး။
ဖုန်းပြင် စဉ်းစားသည်။,ဖုန်းပြင်ဖို့ စဉ်းစားသည်။
ဖုန်းသုံးမည် ပြီးရုပ်ရှင်ကြည့်မည်။,ဖုန်းသုံးပြီး ရုပ်ရှင်ကြည့်မည်။
ကျွန်မလည်း ဖုန်းလည်း မဝယ်ဘူး။,ကျွန်မ ဖုန်းလည်း မဝယ်ဘူး။
မနေ့က ဖုန်း ဝယ်သည်။,မနေ့က ဖုန်း ဝယ်ခဲ့သည်။
ဖုန်းကြည့်မည် ပြီးစာဖတ်မည်။,ဖုန်းကြည့်ပြီး စာဖတ်မည်။
ဖုန်းဖြင့် စာမဖတ်နိုင်ဘူး။,ဖုန်းကြောင့် စာမဖတ်နိုင်ဘူး။
ဖုန်းပျက်ခြင်းဖြင့် မသုံးနိုင်ဘူး။,ဖုန်းပျက်ခြင်းကြောင့် မသုံးနိုင်ဘူး။
မနေ့က ဖုန်း ဆက်သည်။,မနေ့က ဖုန်း ဆက်ခဲ့သည်။
သူအိမ်ကို ထွက်သွားသည်။,သူအိမ်မှ ထွက်သွားသည်။
ကျောင်းကို သွားသည်။,ကျောင်းသို့ သွားသည်။
ဈေးမှ ပြန်လာသည်။,ဈေးက ပြန်လာသည်။
သူအလုပ်ကို သွားသည်။,သူအလုပ်သို့ သွားသည်။
စာကြည့်တိုက်မှ ထွက်လာသည်။,စာကြည့်တိုက်က ထွက်လာသည်။
စာဖတ် စဉ်းစားသည်။,စာဖတ်ဖို့ စဉ်းစားသည်။
စာမေးပွဲဖြေ ကြံစည်သည်။,စာမေးပွဲဖြေဖို့ ကြံစည်သည်။
အလုပ်သွား စီစဉ်သည်။,အလုပ်သွားဖို့ စီစဉ်သည်။
စာသင် တက်ကြိုသည်။,စာသင်ဖို့ တက်ကြိုသည်။
အလုပ်သွားမည် ပြီးအိမ်ပြန်မည်။,အလုပ်သွားပြီး အိမ်ပြန်မည်။
သူမ မသိမည်။,သူမ မသိဘူး။
သူ မနက်ကို ထမြောက်သည်။,သူ မနက်မှာ ထမြောက်သည်။
မတတ်နိုင်ခြင်းဖြင့် မလာဘူး။,မတတ်နိုင်ခြင်းကြောင့် မလာဘူး။
လူနာဖြစ်ခြင်းဖြင့် မတက်နိုင်ဘူး။,လူနာဖြစ်ခြင်းကြောင့် မတက်နိုင်ဘူး။
မနေ့က သူ ပြောသည်။,မနေ့က သူ ပြောခဲ့သည်။
မနေ့က သူ ထွက်သည်။,မနေ့က သူ ထွက်ခဲ့သည်။
ပင်လယ်သွားမည် ပြီးဓာတ်ပုံရိုက်မည်။,ပင်လယ်သွားပြီး ဓာတ်ပုံရိုက်မည်။
သူမလည်း မြို့လည်း မသွားဘူး။,သူမ မြို့လည်း မသွားဘူး။
လေယာဉ်စီးမည် ပြီးရထားစီးမည်။,လေယာဉ်စီးပြီး ရထားစီးမည်။
မနေ့က ဈေးသွားသည်။,မနေ့က ဈေးသွားခဲ့သည်။
ကျွန်မလည်း လေယာဉ်လည်း မစီးဘူး။,ကျွန်မ လေယာဉ်လည်း မစီးဘူး။
သူမြို့ကို သွားသည်။,သူမြို့သို့ သွားသည်။
သူ မြို့မသွားမည်။,သူ မြို့မသွားဘူး။
မြို့ကြည့်မည် ပြီးဈေးဝယ်မည်။,မြို့ကြည့်ပြီး ဈေးဝယ်မည်။
သူလည်း ခရီးလည်း မသွားဘူး။,သူ ခရီးလည်း မသွားဘူး။
မနက်ကို လေယာဉ်စီးသည်။,မနက်မှာ လေယာဉ်စီးသည်။
မော်တော်ယာဉ်ဖြင့် လမ်းပိတ်သည်။,မော်တော်ယာဉ်ကြောင့် လမ်းပိတ်သည်။
သူ လေယာဉ်မစီးမည်။,သူ လေယာဉ်မစီးဘူး။
ခရီးသွား စီစဉ်သည်။,ခရီးသွားဖို့ စီစဉ်သည်။
သူငယ်ချင်းက တောင်မှ ပြန်လာသည်။,သူငယ်ချင်းက တောင်က ပြန်လာသည်။
ကျွန်မ ခရီးမသွားမည်။,ကျွန်မ ခရီးမသွားဘူး။
မနေ့က တောင်တက်သည်။,မနေ့က တောင်တက်ခဲ့သည်။
မနေ့က မြို့ကြီးသွားသည်။,မနေ့က မြို့ကြီးသွားခဲ့သည်။
ညကို ရထားစီးသည်။,ညမှာ ရထားစီးသည်။
မနေ့က ခရီး သွားသည်။,မနေ့က ခရီး သွားခဲ့သည်။
မနက်ခင်းကို ခရီးထွက်သည်။,မနက်ခင်းမှာ ခရီးထွက်သည်။
မြို့ကြီးသွား ပြင်ဆင်သည်။,မြို့ကြီးသွားဖို့ ပြင်ဆင်သည်။
မြို့သစ်သွားမည် ပြီးအစားစားမည်။,မြို့သစ်သွားပြီး အစားစားမည်။
လေယာဉ်စီး ကြံစည်သည်။,လေယာဉ်စီးဖို့ ကြံစည်သည်။
လမ်းပိတ်ခြင်းဖြင့် ခရီးမသွားနိုင်ဘူး။,လမ်းပိတ်ခြင်းကြောင့် ခရီးမသွားနိုင်ဘူး။
လမ်းလျှောက် ဆုံးဖြတ်သည်။,လမ်းလျှောက်ဖို့ ဆုံးဖြတ်သည်။
လမ်းပိတ်ခြင်းဖြင့် မရောက်နိုင်ဘူး။,လမ်းပိတ်ခြင်းကြောင့် မရောက်နိုင်ဘူး။
တောင်တက် စဉ်းစားသည်။,တောင်တက်ဖို့ စဉ်းစားသည်။
သူနိုင်ငံကို ပြန်သည်။,သူနိုင်ငံသို့ ပြန်သည်။
သူလည်း စာလည်း မကြည့်ဘူး။,သူ စာလည်း မကြည့်ဘူး။
မအောင်ခြင်းဖြင့် စိတ်ညစ်သည်။,မအောင်ခြင်းကြောင့် စိတ်ညစ်သည်။
မနေ့က စာသင်သည်။,မနေ့က စာသင်ခဲ့သည်။
စာဖတ်မည် ပြီးစာရေးမည်။,စာဖတ်ပြီး စာရေးမည်။
စာအုပ်ဖတ် ဆုံးဖြတ်သည်။,စာအုပ်ဖတ်ဖို့ ဆုံးဖြတ်သည်။
ညစာမေးပွဲဖြေသည်။,ညမှာ စာမေးပွဲဖြေသည်။
မနက်စာအုပ်ဖတ်သည်။,မနက်မှာ စာအုပ်ဖတ်သည်။
သူ စာမရေးမည်။,သူ စာမရေးဘူး။
စာအုပ်ပျောက်ခြင်းဖြင့် မသင်နိုင်ဘူး။,စာအုပ်ပျောက်ခြင်းကြောင့် မသင်နိုင်ဘူး။
စာအုပ်ဖတ်မည် ပြီးစာရေးမည်။,စာအုပ်ဖတ်ပြီး စာရေးမည်။
ကျောင်းသို့ မသွားဘူး။,ကျောင်းကို မသွားဘူး။
စာမမေးခြင်းဖြင့် မသိဘူး။,စာမမေးခြင်းကြောင့် မသိဘူး။
စာမသင်ခြင်းဖြင့် မအောင်ဘူး။,စာမသင်ခြင်းကြောင့် မအောင်ဘူး။
ကျောင်းသားလည်း စာလည်း မသင်ဘူး။,ကျောင်းသား စာလည်း မသင်ဘူး။
မနေ့က စာအုပ်ဖတ်သည်။,မနေ့က စာအုပ်ဖတ်ခဲ့သည်။
စာဖတ် ကြံစည်သည်။,စာဖတ်ဖို့ ကြံစည်သည်။
ညစာဖတ်သည်။,ညမှာ စာဖတ်သည်။
စာသင်ခန်းမှ စာမေးပွဲဖြေသည်။,စာသင်ခန်း၌ စာမေးပွဲဖြေသည်။
သူလည်း စာလည်း မရေးဘူး။,သူ စာလည်း မရေးဘူး။
ကျောင်းကို ပြန်လာသည်။,ကျောင်းမှ ပြန်လာသည်။
ကျောင်းသူ မသင်မည်။,ကျောင်းသူ မသင်ဘူး။
ကျောင်းသား စာမမေးမည်။,ကျောင်းသား စာမမေးဘူး။
စာမေးပွဲဖြေမည် ပြီးအိမ်ပြန်မည်။,စာမေးပွဲဖြေပြီး အိမ်ပြန်မည်။
ကျောင်းသွားမည် ပြီးစာမေးပွဲဖြေမည်။,ကျောင်းသွားပြီး စာမေးပွဲဖြေမည်။
စာမေးပွဲအောင် ကြိုးစားသည်။,စာမေးပွဲအောင်ဖို့ ကြိုးစားသည်။
စာမေးပွဲဖြေ စဉ်းစားသည်။,စာမေးပွဲဖြေဖို့ စဉ်းစားသည်။
သူမ စာအုပ်မဖတ်မည်။,သူမ စာအုပ်မဖတ်ဘူး။
မနေ့က စာမေးပွဲဖြေသည်။,မနေ့က စာမေးပွဲဖြေခဲ့သည်။
မနေ့က စာရေးသည်။,မနေ့က စာရေးခဲ့သည်။
မနက်စာအုပ်ဝယ်သည်။,မနက်မှာ စာအုပ်ဝယ်သည်။
စာသင်ခန်းကို စတင်သည်။,စာသင်ခန်း၌ စတင်သည်။
ကျွန်မ စာမဖတ်မည်။,ကျွန်မ စာမဖတ်ဘူး။
စာမဖတ်ခြင်းဖြင့် မအောင်ဘူး။,စာမဖတ်ခြင်းကြောင့် မအောင်ဘူး။
စာအုပ်ဝယ်မည် ပြီးအိမ်ပြန်မည်။,စာအုပ်ဝယ်ပြီး အိမ်ပြန်မည်။
မနက်စာရေးသည်။,မနက်မှာ စာရေးသည်။
မနေ့က စာဖတ်သည်။,မနေ့က စာဖတ်ခဲ့သည်။
မနေ့က ထမင်း စားသည်။,မနေ့က ထမင်း စားခဲ့သည်။
ဟင်းချက် စဉ်းစားသည်။,ဟင်းချက်ဖို့ စဉ်းစားသည်။
နေ့လယ်ထမင်းစားသည်။,နေ့လယ်မှာ ထမင်းစားသည်။
ကျွန်တော်စားသောက်ဆိုင်ကို သွားသည်။,ကျွန်တော်စားသောက်ဆိုင်သို့ သွားသည်။
မနေ့က ဖျော်ရည်သောက်သည်။,မနေ့က ဖျော်ရည်သောက်ခဲ့သည်။
သူမလည်း ဖျော်ရည်လည်း မသောက်ဘူး။,သူမ ဖျော်ရည်လည်း မသောက်ဘူး။
ဟင်းချက်မည် ပြီးထမင်းစားမည်။,ဟင်းချက်ပြီး ထမင်းစားမည်။
မနေ့က စျေးသွားသည်။,မနေ့က စျေးသွားခဲ့သည်။
မနက်အစားအစာဝယ်သည်။,မနက်မှာ အစားအစာဝယ်သည်။
ကျွန်မလည်း ဟင်းလည်း မချက်ဘူး။,ကျွန်မ ဟင်းလည်း မချက်ဘူး။
ငါ မဝယ်မည်။,ငါ မဝယ်ဘူး။
အရသာခံ စီစဉ်သည်။,အရသာခံဖို့ စီစဉ်သည်။
ညဖျော်ရည်သောက်သည်။,ညမှာ ဖျော်ရည်သောက်သည်။
ကျွန်တော် မစားမည်။,ကျွန်တော် မစားဘူး။
ညဟင်းချက်သည်။,ညမှာ ဟင်းချက်သည်။
