source,target
ဤပန်းချီကားက ကျွန်ုပ်ကို အံ့သြသည်။,ဤပန်းချီကားက ကျွန်ုပ်ကို အံ့သြစေသည်။
သူ၏အမူအရာက ကျွန်တော့်ကို ဒေါသထွက်သည်။,သူ၏အမူအရာက ကျွန်တော့်ကို ဒေါသထွက်စေသည်။
အမှားမှသင်ယူခြင်းသည် လူကို ကြီးပြင်းသည်။,အမှားမှသင်ယူခြင်းသည် လူကို ကြီးပြင်းစေသည်။
ကော်ဖီသောက်ခြင်းက စိတ်နိုးကြားသည်။,ကော်ဖီသောက်ခြင်းက စိတ်နိုးကြားစေသည်။
ထိုရုပ်ရှင်က ပရိသတ်ကို ကြောက်သည်။,ထိုရုပ်ရှင်က ပရိသတ်ကို ကြောက်စေသည်။
ဤသတင်းက လူတိုင်းကို စိတ်လှုပ်ရှားသည်။,ဤသတင်းက လူတိုင်းကို စိတ်လှုပ်ရှားစေသည်။
နွေးထွေးသောဆက်ဆံရေးသည် မိသားစု ပျော်ရွှင်သည်။,နွေးထွေးသောဆက်ဆံရေးသည် မိသားစုကို ပျော်ရွှင်စေသည်။
ပညာသည် လူကို တန်ဖိုးရှိသည်။,ပညာသည် လူကို တန်ဖိုးရှိစေသည်။
ဆရာ၏ရှင်းပြချက်က ကျွန်တော့်ကို နားလည်သည်။,ဆရာ၏ရှင်းပြချက်က ကျွန်တော့်ကို နားလည်စေသည်။
ဤအချက်အလက်က ကျွန်ုပ်တို့ကို သဘောပေါက်သည်။,ဤအချက်အလက်က ကျွန်ုပ်တို့ကို သဘောပေါက်စေသည်။
၎င်း၏အောင်မြင်မှုက ကျွန်တော့်ကို စိတ်ဓာတ်ခွန်အားဖြစ်သည်။,၎င်း၏အောင်မြင်မှုက ကျွန်တော့်ကို စိတ်ဓာတ်ခွန်အားဖြစ်စေသည်။
ထိုဖြစ်ရပ်က ကျွန်ုပ်တို့ကို နားလည်သည်။,ထိုဖြစ်ရပ်က ကျွန်ုပ်တို့ကို နားလည်စေသည်။
သီချင်းသည် ပရိသတ်ကို တက်ကြွသည်။,သီချင်းသည် ပရိသတ်ကို တက်ကြွစေသည်။
ဤသတင်းက ကျွန်တော့်ကို စိုးရိမ်သည်။,ဤသတင်းက ကျွန်တော့်ကို စိုးရိမ်စေသည်။
၎င်း၏အပြောအဆိုက လူကို ယုံကြည်သည်။,၎င်း၏အပြောအဆိုက လူကို ယုံကြည်စေသည်။
မကောင်းသောစကားသည် လူကို စိတ်ဆင်းရဲသည်။,မကောင်းသောစကားသည် လူကို စိတ်ဆင်းရဲစေသည်။
ဤပုံက ကျွန်တော့်ကို ငိုသည်။,ဤပုံက ကျွန်တော့်ကို ငိုစေသည်။
ဤအခြေအနေက ကျွန်တော့်ကို စိတ်ဖိစီးသည်။,ဤအခြေအနေက ကျွန်တော့်ကို စိတ်ဖိစီးစေသည်။
စာအုပ်များစွာ ဖတ်ခြင်းသည် အသိပညာ ကြွယ်ဝသည်။,စာအုပ်များစွာ ဖတ်ခြင်းသည် အသိပညာ ကြွယ်ဝစေသည်။
သူ့ရဲ့အပြုံးက ကျွန်တော့်ကို ရွှင်လန်းသည်။,သူ့ရဲ့အပြုံးက ကျွန်တော့်ကို ရွှင်လန်းစေသည်။
ဤရနံ့သည် စိတ်ကို လန်းဆန်းသည်။,ဤရနံ့သည် စိတ်ကို လန်းဆန်းစေသည်။
ဤရလဒ်သည် ကျွန်ုပ်တို့ကို ကျေနပ်သည်။,ဤရလဒ်သည် ကျွန်ုပ်တို့ကို ကျေနပ်စေသည်။
ကလေးရဲ့ရယ်သံက အမေ့ကို ပျော်သည်။,ကလေးရဲ့ရယ်သံက အမေ့ကို ပျော်စေသည်။
ဤအချက်က ကျွန်တော့်ကို အံ့ဩသည်။,ဤအချက်က ကျွန်တော့်ကို အံ့ဩစေသည်။
ကောင်းသောအတွေးက စိတ်တည်ငြိမ်သည်။,ကောင်းသောအတွေးက စိတ်တည်ငြိမ်စေသည်။
ဆရာ၏အကြံဉာဏ်က ကျွန်တော့်ကို အားရှိသည်။,ဆရာ၏အကြံဉာဏ်က ကျွန်တော့်ကို အားရှိစေသည်။
အသံချဲ့စက်သည် အသံကို ကျယ်လောင်သည်။,အသံချဲ့စက်သည် အသံကို ကျယ်လောင်စေသည်။
စိတ်အားထက်သန်မှုသည် လူကို အောင်မြင်သည်။,စိတ်အားထက်သန်မှုသည် လူကို အောင်မြင်စေသည်။
သူတို့၏ဆန္ဒသည် ကျွန်ုပ်တို့ကို အံ့ဩသည်။,သူတို့၏ဆန္ဒသည် ကျွန်ုပ်တို့ကို အံ့ဩစေသည်။
လွတ်လပ်မှုသည် လူကို ပျော်ရွှင်သည်။,လွတ်လပ်မှုသည် လူကို ပျော်ရွှင်စေသည်။
သူ၏ကြိုးစားမှုက ကျွန်တော့်ကို အတုယူသည်။,သူ၏ကြိုးစားမှုက ကျွန်တော့်ကို အတုယူစေသည်။
မကောင်းသောသတင်းသည် လူကို စိတ်ဓာတ်ကျသည်။,မကောင်းသောသတင်းသည် လူကို စိတ်ဓာတ်ကျစေသည်။
ကောင်းသောအတွေးသည် စိတ်ကို အေးချမ်းသည်။,ကောင်းသောအတွေးသည် စိတ်ကို အေးချမ်းစေသည်။
ကရုဏာစိတ်သည် လူတိုင်းကို ချစ်ခင်သည်။,ကရုဏာစိတ်သည် လူတိုင်းကို ချစ်ခင်စေသည်။
လေယာဉ်ပေါ်တွင် စားသောက်နှင့် အိပ်ခန်းများရှိသည်။,လေယာဉ်ပေါ်တွင် စားသောက်ခန်းနှင့် အိပ်ခန်းများရှိသည်။
ဤမြို့တွင် စက်မှုနှင့် လက်မှုလုပ်ငန်းများရှိသည်။,ဤမြို့တွင် စက်မှုလုပ်ငန်းနှင့် လက်မှုလုပ်ငန်းများရှိသည်။
နိုင်ငံတော်တွင် တရားဥပဒေနှင့် အုပ်ချုပ်ရေးကဏ္ဍတိုကို အားကောင်းစေသည်။,နိုင်ငံတော်တွင် တရားဥပဒေကဏ္ဍနှင့် အုပ်ချုပ်ရေးကဏ္ဍတိုကို အားကောင်းစေသည်။
မင်းသားသည် စစ်ရေးနှင့် စာပေပညာကျွမ်းကျင်သည်။,မင်းသားသည် စစ်ရေးပညာနှင့် စာပေပညာကျွမ်းကျင်သည်။
ကျောင်းသားများသည် ပုံဆွဲနှင့် ရုပ်တုထုပညာကို လေ့လာသည်။,ကျောင်းသားများသည် ပုံဆွဲပညာနှင့် ရုပ်တုထုပညာကို လေ့လာသည်။
ကုမ္ပဏီတွင် ရောင်းချနှင့် စျေးကွက်ဌာနများရှိသည်။,ကုမ္ပဏီတွင် ရောင်းချရေးဌာနနှင့် စျေးကွက်ရှာဖွေရေးဌာနများရှိသည်။
ဤနိုင်ငံမှာ ပညာရေးနှင့် ကျန်းမာရေးစနစ်တိုက ကောင်းမွန်သည်။,ဤနိုင်ငံမှာ ပညာရေးစနစ်နှင့် ကျန်းမာရေးစနစ်တိုက ကောင်းမွန်သည်။
ညစာတွင် ဆန်ပြုတ်နှင့် ကြက်ဥဟင်းများပါဝင်သည်။,ညစာတွင် ဆန်ပြုတ်ဟင်းနှင့် ကြက်ဥဟင်းများပါဝင်သည်။
သင်တန်းကျောင်းတွင် စာရင်းကိုင်နှင့် ကွန်ပျူတာဘာသာရပ်များရှိသည်။,သင်တန်းကျောင်းတွင် စာရင်းကိုင်ဘာသာရပ်နှင့် ကွန်ပျူတာဘာသာရပ်များရှိသည်။
သူသည် ပန်းချီနှင့် ဂီတအနုပညာကို နှစ်သက်သည်။,သူသည် ပန်းချီအနုပညာနှင့် ဂီတအနုပညာကို နှစ်သက်သည်။
ဤစာအုပ်က သမိုင်းနှင့် ဒဿနိကဗေဒနယ်ပယ်တို့အတွက် အသုံးဝင်သည်။,ဤစာအုပ်က သမိုင်းနယ်ပယ်နှင့် ဒဿနိကဗေဒနယ်ပယ်တို့အတွက် အသုံးဝင်သည်။
စစ်တပ်တွင် လေတပ်နှင့် ရေတပ်အဖွဲ့များရှိသည်။,စစ်တပ်တွင် လေတပ်အဖွဲ့နှင့် ရေတပ်အဖွဲ့များရှိသည်။
သူသည် လူမှုရေးနှင့် နိုင်ငံရေးအဖွဲ့အစည်းများတွင် ပါဝင်သည်။,သူသည် လူမှုရေးအဖွဲ့အစည်းနှင့် နိုင်ငံရေးအဖွဲ့အစည်းများတွင် ပါဝင်သည်။
စာကြည့်တိုက်တွင် ဝတ္ထုနှင့် သမိုင်းစာအုပ်များရှိသည်။,စာကြည့်တိုက်တွင် ဝတ္ထုစာအုပ်နှင့် သမိုင်းစာအုပ်များရှိသည်။
စားပွဲပေါ်တွင် ကွန်ပျူတာနှင့် လက်ရေးဖိုင်များရှိသည်။,စားပွဲပေါ်တွင် ကွန်ပျူတာဖိုင်နှင့် လက်ရေးဖိုင်များရှိသည်။
သူ၏အလုပ်က ဘဏ်လုပ်ငန်းနှင့် ငွေကြေးဝန်ဆောင်မှုများဖြစ်သည်။,သူ၏အလုပ်က ဘဏ်လုပ်ငန်းနှင့် ငွေကြေးဝန်ဆောင်မှုလုပ်ငန်းများဖြစ်သည်။
ဤပြတိုက်တွင် သစ်သားနှင့် ကျောက်တုံးပစ္စည်းများရှိသည်။,ဤပြတိုက်တွင် သစ်သားပစ္စည်းနှင့် ကျောက်တုံးပစ္စည်းများရှိသည်။
သူ၏စကားပြောတွင် နိုင်ငံရေးနှင့် စီးပွားရေးသဘောတရားများပါဝင်သည်။,သူ၏စကားပြောတွင် နိုင်ငံရေးသဘောတရားနှင့် စီးပွားရေးသဘောတရားများပါဝင်သည်။
ကလေးများအတွက် ကာတွန်းနှင့် အရုပ်ဇာတ်လမ်းများရှိသည်။,ကလေးများအတွက် ကာတွန်းဇာတ်လမ်းနှင့် အရုပ်ဇာတ်လမ်းများရှိသည်။
စားသောက်ဆိုင်တွင် တရုတ်နှင့် ထိုင်းဟင်းလျာများရနိုင်သည်။,စားသောက်ဆိုင်တွင် တရုတ်ဟင်းလျာနှင့် ထိုင်းဟင်းလျာများရနိုင်သည်။
ဤဥယျာဉ်တွင် ပန်းနှင့် သစ်ပင်မျိုးစိတ်များရှိသည်။,ဤဥယျာဉ်တွင် ပန်းမျိုးစိတ်နှင့် သစ်ပင်မျိုးစိတ်များရှိသည်။
အစည်းအဝေးတွင် စီမံခန့်ခွဲရေးနှင့် ဘဏ္ဍာရေးအရာရှိများတက်ရောက်သည်။,အစည်းအဝေးတွင် စီမံခန့်ခွဲရေးအရာရှိနှင့် ဘဏ္ဍာရေးအရာရှိများတက်ရောက်သည်။
သူသည် ပင်လယ်နှင့် သဲကန္တာရခရီးများသွားသည်။,သူသည် ပင်လယ်ခရီးနှင့် သဲကန္တာရခရီးများသွားသည်။
ကျောင်းတွင် အားကစားနှင့် ဂီတခန်းမများရှိသည်။,ကျောင်းတွင် အားကစားခန်းမနှင့် ဂီတခန်းမများရှိသည်။
စာရွက်စာတမ်းတွင် အစနှင့် အဆုံးရက်စွဲများဖော်ပြသည်။,စာရွက်စာတမ်းတွင် အစရက်စွဲနှင့် အဆုံးရက်စွဲများဖော်ပြသည်။
အဆောက်အဦးတွင် ဝင်နှင့် ထွက်ပေါက်များရှိသည်။,အဆောက်အဦးတွင် ဝင်ပေါက်နှင့် ထွက်ပေါက်များရှိသည်။
ဤနေရာတွင် မုန့်နှင့် လက်ဖက်ရည်ဆိုင်များရှိသည်။,ဤနေရာတွင် မုန့်ဆိုင်နှင့် လက်ဖက်ရည်ဆိုင်များရှိသည်။
ကုမ္ပဏီတွင် အငယ်တန်းနှင့် အကြီးတန်းဝန်ထမ်းများရှိသည်။,ကုမ္ပဏီတွင် အငယ်တန်းဝန်ထမ်းနှင့် အကြီးတန်းဝန်ထမ်းများရှိသည်။
ကျွန်တော်တို့သည် အတိတ်နှင့် အနာဂတ်အကြောင်းကို ဆွေးနွေးသည်။,ကျွန်တော်တို့သည် အတိတ်အကြောင်းနှင့် အနာဂတ်အကြောင်းကို ဆွေးနွေးသည်။
သူသည် စိတ်ပညာနှင့် လူမှုဗေဒကျောင်းတက်သည်။,သူသည် စိတ်ပညာကျောင်းနှင့် လူမှုဗေဒကျောင်းတက်သည်။
ဆေးဆိုင်တွင် ဆေးနှင့် ဆေးပစ္စည်းများရနိုင်သည်။,ဆေးဆိုင်တွင် ဆေးဝါးနှင့် ဆေးပစ္စည်းများရနိုင်သည်။
ထမင်းစားပွဲတွင် ဇွန်းနှင့် ခက်ရင်းများရှိသည်။,ထမင်းစားပွဲတွင် ဇွန်းများနှင့် ခက်ရင်းများရှိသည်။
ဤအနုပညာသည် ရိုးရာနှင့် ခေတ်ပေါ်ဤဇိုင်းများဖြစ်သည်။,ဤအနုပညာသည် ရိုးရာနှင့် ခေတ်ပေါ်ဒီဇိုင်းများဖြစ်သည်။
စာမေးပွဲတွင် စာရေးနှင့် လက်တွေ့အပိုင်းများပါဝင်သည်။,စာမေးပွဲတွင် စာရေးဖြေဆိုခြင်းနှင့် လက်တွေ့ဖြေဆိုခြင်းအပိုင်းများပါဝင်သည်။
ကျွန်တော်တို့သည် ပုံပြင်နှင့် ရာဇဝင်စာအုပ်များဖတ်သည်။,ကျွန်တော်တို့သည် ပုံပြင်စာအုပ်နှင့် ရာဇဝင်စာအုပ်များဖတ်သည်။
ထိုပုဂ္ဂိုလ်သည် စစ်ရေးနှင့် အရပ်ဘက်ကိစ္စများတွင် ကျွမ်းကျင်သည်။,ထိုပုဂ္ဂိုလ်သည် စစ်ရေးကိစ္စနှင့် အရပ်ဘက်ကိစ္စများတွင် ကျွမ်းကျင်သည်။
သူ၏အလုပ်တွင် ပုံနှိပ်နှင့် အီလက်ထရောနစ်နည်းပညာများပါဝင်သည်။,သူ၏အလုပ်တွင် ပုံနှိပ်နည်းပညာနှင့် အီလက်ထရောနစ်နည်းပညာများပါဝင်သည်။
မင်းသားသည် စစ်ရေးကို၎င်း၊ စာပေကို၎င်း၊ အနုပညာကိုပါ ကျွမ်းကျင်သည်။,မင်းသားသည် စစ်ရေးကို၎င်း၊ စာပေကို၎င်း၊ အနုပညာကိုပါ၎င်း ကျွမ်းကျင်သည်။
သူသည် ဖခင်ကို၎င်း၊ မိခင်ကို၎င်း၊ ဆရာကိုပါ ဂါရဝပြုသည်။,သူသည် ဖခင်ကို၎င်း၊ မိခင်ကို၎င်း၊ ဆရာကိုပါ၎င်း ဂါရဝပြုသည်။
ကျွန်ုပ်သည် အတိတ်ကို၎င်း၊ ပစ္စုပ္ပန်ကို၎င်း၊ အနာဂတ်ကိုပါ မေ့ထားချေသည်။,ကျွန်ုပ်သည် အတိတ်ကို၎င်း၊ ပစ္စုပ္ပန်ကို၎င်း၊ အနာဂတ်ကိုပါ၎င်း မေ့ထားချေသည်။
ထိုပုဂ္ဂိုလ်သည် စစ်ရေးကို၎င်း၊ နိုင်ငံရေးကို၎င်း၊ စီးပွားရေးကိုပါ စိတ်မဝင်စားချေ။,ထိုပုဂ္ဂိုလ်သည် စစ်ရေးကို၎င်း၊ နိုင်ငံရေးကို၎င်း၊ စီးပွားရေးကိုပါ၎င်း စိတ်မဝင်စားချေ။
ကျွန်တော်သည် ကွန်ပျူတာကို၎င်း၊ ဖုန်းကို၎င်း၊ ရုပ်မြင်သံကြားကိုပါ မပိုင်ဆိုင်ချေ။,ကျွန်တော်သည် ကွန်ပျူတာကို၎င်း၊ ဖုန်းကို၎င်း၊ ရုပ်မြင်သံကြားကိုပါ၎င်း မပိုင်ဆိုင်ချေ။
သူသည် စာဖတ်ခြင်းကို၎င်း၊ ဂီတနားထောင်ခြင်းကို၎င်း၊ ရုပ်ရှင်ကြည့်ခြင်းကိုပါ မနှစ်သက်ချေ။,သူသည် စာဖတ်ခြင်းကို၎င်း၊ ဂီတနားထောင်ခြင်းကို၎င်း၊ ရုပ်ရှင်ကြည့်ခြင်းကိုပါ၎င်း မနှစ်သက်ချေ။
ထိုစာအုပ်တွင် ဝတ္ထုကို၎င်း၊ ကဗျာကို၎င်း၊ ဆောင်းပါးကိုပါ မတွေ့ရှိရချေ။,ထိုစာအုပ်တွင် ဝတ္ထုကို၎င်း၊ ကဗျာကို၎င်း၊ ဆောင်းပါးကိုပါ၎င်း မတွေ့ရှိရချေ။
ကျွန်ုပ်သည် အမှန်တရားကို၎င်း၊ အမှားကို၎င်း၊ လိမ်လည်မှုကိုပါ မနှစ်သက်ချေ။,ကျွန်ုပ်သည် အမှန်တရားကို၎င်း၊ အမှားကို၎င်း၊ လိမ်လည်မှုကိုပါ၎င်း မနှစ်သက်ချေ။
ကလေးသည် အိုင်စကရင်ကို၎င်း၊ သကြားလုံးကို၎င်း၊ ချောကလက်ကိုပါ မစားချေ။,ကလေးသည် အိုင်စကရင်ကို၎င်း၊ သကြားလုံးကို၎င်း၊ ချောကလက်ကိုပါ၎င်း မစားချေ။
ကျွန်တော်သည် စစ်ပွဲကို၎င်း၊ ငြိမ်းချမ်းရေးကို၎င်း၊ စစ်ပြေးဒုက္ခသည်ကိုပါ မလိုချင်ချေ။,ကျွန်တော်သည် စစ်ပွဲကို၎င်း၊ ငြိမ်းချမ်းရေးကို၎င်း၊ စစ်ပြေးဒုက္ခသည်ကိုပါ၎င်း မလိုချင်ချေ။
သူသည် ပညာရေးကို၎င်း၊ ကျန်းမာရေးကို၎င်း၊ စီးပွားရေးကိုပါ ဂရုမစိုက်ချေ။,သူသည် ပညာရေးကို၎င်း၊ ကျန်းမာရေးကို၎င်း၊ စီးပွားရေးကိုပါ၎င်း ဂရုမစိုက်ချေသည်။
ကျွန်ုပ်သည် ဤနေရာကို၎င်း၊ ထိုလူကို၎င်း၊ ဤပစ္စည်းကိုပါ မသိချေ။,ကျွန်ုပ်သည် ဤနေရာကို၎င်း၊ ထိုလူကို၎င်း၊ ဤပစ္စည်းကို၎င်း မသိချေ။
ကျွန်တော်သည် သူ၏စကားကို၎င်း၊ သူ၏အပြုအမူကို၎င်း၊ သူ၏ရည်ရွယ်ချက်ကိုပါ နားမလည်ချေ။,ကျွန်တော်သည် သူ၏စကားကို၎င်း၊ သူ၏အပြုအမူကို၎င်း၊ သူ၏ရည်ရွယ်ချက်ကို၎င်း နားမလည်ချေ။
သူတို့သည် မူလတန်းကို၎င်း၊ အလယ်တန်းကို၎င်း၊ အထက်တန်းကိုပါ မအောင်မြင်ချေ။,သူတို့သည် မူလတန်းကို၎င်း၊ အလယ်တန်းကို၎င်း၊ အထက်တန်းကိုပါ၎င်း မအောင်မြင်ချေ။
ကျွန်ုပ်သည် ချမ်းသာခြင်းကို၎င်း၊ ဆင်းရဲခြင်းကို၎င်း၊ အာဏာကိုပါ မလိုချင်ချေ။,ကျွန်ုပ်သည် ချမ်းသာခြင်းကို၎င်း၊ ဆင်းရဲခြင်းကို၎င်း၊ အာဏာကိုပါ၎င်း မလိုချင်ချေ။
ကျွန်တော်သည် အဆိပ်ကို၎င်း၊ အကြွေးကို၎င်း၊ ရန်သူကိုပါ မရှိချေ။,ကျွန်တော်သည် အဆိပ်ကို၎င်း၊ အကြွေးကို၎င်း၊ ရန်သူကိုပါ၎င်း မရှိချေ။
သူသည် အပြစ်ကို၎င်း၊ အပြစ်ပေးခြင်းကို၎င်း၊ ခွင့်လွှတ်ခြင်းကိုပါ မကြောက်ချေ။,သူသည် အပြစ်ကို၎င်း၊ အပြစ်ပေးခြင်းကို၎င်း၊ ခွင့်လွှတ်ခြင်းကိုပါ၎င်း မကြောက်ချေ။
ကျွန်ုပ်သည် ကောင်းခြင်းကို၎င်း၊ ဆိုးခြင်းကို၎င်း၊ ကြားနေခြင်းကိုပါ မသိချေ။,ကျွန်ုပ်သည် ကောင်းခြင်းကို၎င်း၊ ဆိုးခြင်းကို၎င်း၊ ကြားနေခြင်းကိုပါ၎င်း မသိချေ။
သူသည် လာခြင်းကို၎င်း၊ သွားခြင်းကို၎င်း၊ ရပ်တန့်ခြင်းကိုပါ မလုပ်ချေ။,သူသည် လာခြင်းကို၎င်း၊ သွားခြင်းကို၎င်း၊ ရပ်တန့်ခြင်းကိုပါ၎င်း မလုပ်ချေ။
ကျွန်တော်သည် လေယာဉ်ဖြင့်ခရီးသွားခြင်းကို၎င်း၊ ရထားဖြင့်ခရီးသွားခြင်းကို၎င်း၊ ကားဖြင့်ခရီးသွားခြင်းကိုပါ မနှစ်သက်ချေ။,ကျွန်တော်သည် လေယာဉ်ဖြင့်ခရီးသွားခြင်းကို၎င်း၊ ရထားဖြင့်ခရီးသွားခြင်းကို၎င်း၊ ကားဖြင့်ခရီးသွားခြင်းကိုပါ၎င်း မနှစ်သက်ချေ။
သူမသည် ၎င်းကို၎င်း၊ ထိုသူကို၎င်း၊ ဤအရာကိုပါ မကြည့်ချေ။,သူမသည် ၎င်းကို၎င်း၊ ထိုသူကို၎င်း၊ ဤအရာကိုပါ၎င်း မကြည့်ချေ။
ဤသတင်းစာသည် နိုင်ငံရေးကို၎င်း၊ အားကစားကို၎င်း၊ ဖျော်ဖြေရေးကိုပါ မဖော်ပြချေ။,ဤသတင်းစာသည် နိုင်ငံရေးကို၎င်း၊ အားကစားကို၎င်း၊ ဖျော်ဖြေရေးကိုပါ၎င်း မဖော်ပြချေ။
ကျွန်ုပ်သည် သူ၏အသံကို၎င်း၊ သူ၏အမူအရာကို၎င်း၊ သူ၏အပြောအဆိုကိုပါ မကြားချေ။,ကျွန်ုပ်သည် သူ၏အသံကို၎င်း၊ သူ၏အမူအရာကို၎င်း၊ သူ၏အပြောအဆိုကိုပါ၎င်း မကြားချေ။
ကျွန်တော်သည် အမှိုက်ကို၎င်း၊ ဖုန်ကို၎င်း၊ အညစ်အကြေးကိုပါ မမြင်ချေ။,ကျွန်တော်သည် အမှိုက်ကို၎င်း၊ ဖုန်ကို၎င်း၊ အညစ်အကြေးကိုပါ၎င်း မမြင်ချေ။
ထိုကလေးသည် ပညာကို၎င်း၊ အသိပညာကို၎င်း၊ ဉာဏ်ပညာကိုပါ မသင်ယူချေ။,ထိုကလေးသည် ပညာကို၎င်း၊ အသိပညာကို၎င်း၊ ဉာဏ်ပညာကိုပါ၎င်း မသင်ယူချေ။
ကျွန်ုပ်သည် ပင်ပန်းခြင်းကို၎င်း၊ ဆင်းရဲခြင်းကို၎င်း၊ စိတ်ဓာတ်ကျခြင်းကိုပါ မကြောက်ချေ။,ကျွန်ုပ်သည် ပင်ပန်းခြင်းကို၎င်း၊ ဆင်းရဲခြင်းကို၎င်း၊ စိတ်ဓာတ်ကျခြင်းကိုပါ၎င်း မကြောက်ချေ။
သူသည် ရိုးသားခြင်းကို၎င်း၊ ရိုးသားမှုမရှိခြင်းကို၎င်း၊ ရိုးသားမှုမရှိခြင်းကိုပါ မသိချေ။,သူသည် ရိုးသားခြင်းကို၎င်း၊ ရိုးသားမှုမရှိခြင်းကို၎င်း၊ ရိုးသားမှုမရှိခြင်းကိုပါ၎င်း မသိချေ။
ကျွန်တော်သည် အလင်းကို၎င်း၊ အမှောင်ကို၎င်း၊ အရောင်ကိုပါ မမြင်ရချေ။,ကျွန်တော်သည် အလင်းကို၎င်း၊ အမှောင်ကို၎င်း၊ အရောင်ကိုပါ၎င်း မမြင်ရချေ။
ကျွန်ုပ်သည် အောင်မြင်ခြင်းကို၎င်း၊ မအောင်မြင်ခြင်းကို၎င်း၊ ထာဝရကိုပါ မသိချေ။,ကျွန်ုပ်သည် အောင်မြင်ခြင်းကို၎င်း၊ မအောင်မြင်ခြင်းကို၎င်း၊ ထာဝရကိုပါ၎င်း မသိချေ။
သူသည် ပန်းပုထုခြင်းကို၎င်း၊ ပန်းချီဆွဲခြင်းကို၎င်း၊ သီချင်းဆိုခြင်းကိုပါ မလုပ်ချေ။,သူသည် ပန်းပုထုခြင်းကို၎င်း၊ ပန်းချီဆွဲခြင်းကို၎င်း၊ သီချင်းဆိုခြင်းကိုပါ၎င်း မလုပ်ချေ။
ကျွန်တော်သည် မနက်ဖြန်ကို၎င်း၊ သန်ဘက်ခါကို၎င်း၊ နောင်နှစ်ကိုပါ မတွေးတောချေ။,ကျွန်တော်သည် မနက်ဖြန်ကို၎င်း၊ သန်ဘက်ခါကို၎င်း၊ နောင်နှစ်ကိုပါ၎င်း မတွေးတောချေ။
